name,type,name:en,WKT
Библиотека Феткин,library,Fetkin Library,POINT (22.0124363 41.4340077)
Државен архив на Северна Македонија,library,State Archives of North Macedonia,POINT (21.4343486 41.9968185)
Григор Прличев,library,Grigor Prlichev,POINT (20.8006399 41.1126552)
Градска Библиотека Илинден,library,City Library Ilinden,POINT (22.772984 41.9663875)
Германска читалница,library,German Reading Room,POINT (21.4393671 41.9981313)
Американско катче Македонија,library,American Corner Macedonia,POINT (21.4397823 41.9980573)
Библиотека „Браќа Миладиновци“ - Карпош,library,"Library ""Miladinovci Brothers"" - Karposh",POINT (21.4120526 42.0027424)
Илјада книги,library,1000 Books,POINT (21.4354639 41.9946963)
