name,tourism,name:en,WKT
Залив на Коските,museum,Bay of Bones,"POLYGON ((20.7979124 40.9946609, 20.7977193 40.9944949, 20.7978588 40.9944058, 20.7978668 40.9943693, 20.7979768 40.9942944, 20.7979446 40.994256, 20.7980519 40.9941748, 20.7982718 40.9940533, 20.7985508 40.9943023, 20.7984757 40.9943592, 20.7981705 40.9945096, 20.7981322 40.9945322, 20.7979768 40.9946143, 20.7979124 40.9946609))"
Музеј на Илинденското востание и Крушевската Република,museum,Museum of the Ilinden Uprising and the Republic of Krushevo,"POLYGON ((21.2452388 41.3691154, 21.2452626 41.3689796, 21.245368 41.36899, 21.2453442 41.3691258, 21.2452388 41.3691154))"
Археолошки музеј на Македонија,museum,Archaeological Museum of Macedonia,"POLYGON ((21.4340186 41.9970517, 21.4341817 41.9969032, 21.4341495 41.9968594, 21.4344124 41.996676, 21.4344875 41.996688, 21.4346323 41.9966002, 21.4347879 41.9965245, 21.4348898 41.9965205, 21.4349649 41.9965723, 21.4349649 41.9966521, 21.434922 41.9967079, 21.4348254 41.9967318, 21.434686 41.9968036, 21.4344177 41.996977, 21.4343212 41.9970667, 21.4343104 41.9971305, 21.4342407 41.9971823, 21.4341495 41.9971983, 21.4340907 41.9971761, 21.4340691 41.9971664, 21.4340369 41.9971305, 21.4340186 41.9970517))"
Ел Калем,museum,Em Kalem,"POLYGON ((21.287509 41.987037, 21.2874623 41.9869433, 21.2876086 41.986892, 21.2877062 41.9868648, 21.2877631 41.9868844, 21.2878282 41.9868738, 21.2878485 41.986898, 21.2878485 41.9869297, 21.2878261 41.9869569, 21.287509 41.987037))"
Музеј Штип,museum,Shtip Museum,"POLYGON ((22.1894327 41.736621, 22.1894348 41.7365951, 22.1896388 41.7365213, 22.1896813 41.7365757, 22.1897237 41.7366301, 22.1898299 41.7366368, 22.1898556 41.7365498, 22.1900523 41.7365581, 22.1900358 41.7366957, 22.1900008 41.7367377, 22.1899302 41.7367321, 22.1899111 41.7367604, 22.1896883 41.7367349, 22.189541 41.7367818, 22.1894327 41.736621))"
Безистен Штип,museum,Shtip Bezisten,"POLYGON ((22.1924737 41.7375614, 22.1925072 41.7374964, 22.1925407 41.7374313, 22.1926199 41.7374459, 22.1929247 41.7375186, 22.1928558 41.7376645, 22.1924737 41.7375614))"
Бегов амам,museum,Bey's Hamam,"POLYGON ((20.967434 42.0061214, 20.9675068 42.0062127, 20.9673057 42.0064021, 20.9671926 42.0063446, 20.967434 42.0061214))"
Народен Музеј,museum,Folk Museum,"POLYGON ((21.9418167 41.8649413, 21.9419399 41.864921, 21.9419967 41.8651123, 21.9418734 41.8651325, 21.9418167 41.8649413))"
Ловен Дом,museum,Hunting House,"POLYGON ((22.4138306 41.9150435, 22.4139013 41.9151498, 22.4137531 41.9152044, 22.4136824 41.915098, 22.4138306 41.9150435))"
Леарница,museum,Foundry,"POLYGON ((21.246667 41.3722171, 21.2465975 41.3721739, 21.2466498 41.3721265, 21.2467193 41.3721696, 21.246667 41.3722171))"
1. Бригада,museum,1st Brigade,"POLYGON ((20.6485817 41.3660204, 20.648564 41.3659436, 20.64869 41.3659272, 20.6487077 41.366004, 20.6485817 41.3660204))"
Спомен-дом Блаже Конески,museum,Blazhe Koneski Memorial House,"POLYGON ((21.5583418 41.4493541, 21.5583906 41.4492115, 21.5585233 41.4492371, 21.5584744 41.4493796, 21.5583418 41.4493541))"
Музеј на Битола,museum,Museum of Bitola,"POLYGON ((21.3359067 41.0234533, 21.3360302 41.0235972, 21.336058 41.0235836, 21.3361293 41.0236669, 21.3361028 41.0236798, 21.3362254 41.0238229, 21.3354101 41.0242208, 21.3352928 41.0240839, 21.3352618 41.024099, 21.3351749 41.0239978, 21.3352038 41.0239837, 21.3351742 41.0239492, 21.3353617 41.0238577, 21.3355047 41.0240243, 21.3359359 41.0238137, 21.3357916 41.0236456, 21.3351761 41.0239462, 21.3350938 41.0238503, 21.3359067 41.0234533))"
