name,amenity,tourism,historic,historic:civilization,name:en,name:mk,religion,WKT
,,,archaeological_site,,,,,POINT (22.4180157 41.8484714)
Doma,,,monument,,,,,POINT (21.4434502 42.0169571)
Museum of Galichnik's cultural heritage,,museum,,,,,,POINT (20.652723 41.5939237)
,,,memorial,,The Bridge of Civilizations in Macedonia,,,POINT (21.4339472 41.9963717)
,,,memorial,,,,,POINT (21.4344426 42.0011065)
,,,memorial,,chapel,,,POINT (20.8255665 41.0239386)
Манастир Светих Архангела,place_of_worship,attraction,yes,,Monastery of the Holy Archangels,Манастир Свети Архангели,christian,POINT (20.7635145 42.2005793)
Спомен плоча на Мајка Тереза,,,memorial,,Mother Teresa Old House Place,,,POINT (21.4319995 41.9952759)
Μνημείο Ποντίων,,,memorial,,,Споменик на Понтијците,,POINT (22.9291546 41.2838756)
,,,memorial,,,,,POINT (22.894128 41.2773578)
,,,memorial,,,,,POINT (22.9482552 41.2920611)
,,,memorial,,,,,POINT (22.9481317 41.2922706)
ΙΝΤΖΕΣ,,,memorial,,,,,POINT (22.9991093 41.2601074)
,,,memorial,,,,,POINT (22.9436422 41.2927647)
Peloim Ballshkashi,,,memorial,,,,,POINT (20.5588035 41.1083502)
Agron H. Bogdani,,,memorial,,,,,POINT (20.564815 41.1055913)
,,,monument,,,,,POINT (20.6090108 41.0653008)
Ард ден Долард,,,memorial,,Aard den Dolaard,,,POINT (20.8078335 41.1057278)
Резиденцијата Главинов,,,castle,,Residence Glavinov,Резиденција Главинов,,POINT (21.4422187 41.958616)
,,,memorial,,,,,POINT (21.4274744 41.9953188)
,,,memorial,,,,,POINT (21.4195079 41.9996011)
Методија Андонов - Ченто,,,memorial,,,,,POINT (21.4306041 41.9957136)
Xhamia e Arastes,,,monument,,Arasta mosque,,,POINT (20.7419468 42.2103335)
,,,memorial,,,,,POINT (21.3655391 42.0072121)
,,,memorial,,,,,POINT (21.4331831 41.9959384)
Archaeological Museum,,museum,,,,,,POINT (20.7366648 42.2112685)
,library,,,,,,,POINT (22.5890858 42.0214084)
terminal mitnitsa tetovo,,,monument,,,,,POINT (20.9681527 41.9974433)
patarina-160,,,monument,,,,,POINT (21.2926787 41.9885405)
T669,,,locomotive,,,,,POINT (20.5478883 41.0672594)
Skanderbeg table,,,yes,,,,,POINT (20.520401 41.0958636)
,,museum,,,Museum House of Dimitar Peshev,,,POINT (22.6890477 42.2833904)
Капитан Ильо Войвода,,,memorial,,Ильо Войвода,,,POINT (22.6970521 42.2817365)
Крепост Градище,,,castle,,,,,POINT (22.965204 42.0035485)
Kanda - Geoglif Sv. Nikole,,,monument,,,,,POINT (21.9562049 41.8289715)
,,,memorial,,,,,POINT (22.2020987 41.7361643)
,,,memorial,,,,,POINT (22.1983434 41.738462)
,,,memorial,,,,,POINT (22.1984235 41.7384601)
,,,memorial,,,,,POINT (22.201961 41.7361778)
,,,memorial,,,,,POINT (22.2015065 41.7362745)
,,,memorial,,,,,POINT (22.201344 41.7363007)
,,,monument,,,,,POINT (22.1899861 41.7364635)
Споменик на Малешевскиот (Малешки) народноослободителен одред,,,memorial,,,,,POINT (22.6569551 41.7213441)
,,,memorial,,,,,POINT (21.3906079 42.3215992)
Кале,,,archaeological_site,byzantine,Kale,Кале,,POINT (20.9282003 41.0043725)
,,,wayside_shrine,,,,,POINT (20.6465372 40.9131234)
Калата,,,archaeological_site,ancient_roman,Kalata,Калата,,POINT (22.5905605 41.9856377)
Бањичко Кале,,,archaeological_site,,Banjica Fortress,,,POINT (21.628172 41.6952366)
Idriz Seferi,,,memorial,,,,,POINT (21.2570189 42.2265772)
Mirče Acev Bataljon,,,monument,,,,,POINT (20.7630424 41.3747079)
,,,tomb,,,,,POINT (21.2217637 42.2725713)
,,,tomb,,,,,POINT (21.2217768 42.2725609)
,,,tomb,,,,,POINT (21.2217899 42.2725518)
,,,tomb,,,,,POINT (21.2217996 42.2725415)
,,,tomb,,,,,POINT (21.2218115 42.2725313)
,,,tomb,,,,,POINT (21.2217345 42.2725344)
,,,tomb,,,,,POINT (21.2217445 42.2725261)
,,,tomb,,,,,POINT (21.2217587 42.2725167)
,,,tomb,,,,,POINT (21.2217699 42.2725076)
,,,tomb,,,,,POINT (21.2217811 42.2724956)
,,,tomb,,,,,POINT (21.2217938 42.2724859)
,,,tomb,,,,,POINT (21.2218061 42.2724763)
,,,tomb,,,,,POINT (21.2218173 42.2724634)
,,,tomb,,,,,POINT (21.2218281 42.2724537)
,,,tomb,,,,,POINT (21.2218391 42.2724463)
,,,tomb,,,,,POINT (21.2216834 42.2725228)
,,,tomb,,,,,POINT (21.2216956 42.2725115)
,,,tomb,,,,,POINT (21.2217083 42.2725017)
,,,tomb,,,,,POINT (21.221719 42.2724927)
,,,tomb,,,,,POINT (21.2217291 42.2724799)
,,,tomb,,,,,POINT (21.2217393 42.2724701)
,,,tomb,,,,,POINT (21.2217546 42.2724592)
,,,tomb,,,,,POINT (21.2217632 42.2724494)
,,,tomb,,,,,POINT (21.2217764 42.2724389)
,,,tomb,,,,,POINT (21.2217861 42.2724303)
,,,tomb,,,,,POINT (21.221628 42.2725077)
,,,tomb,,,,,POINT (21.221642 42.2724972)
,,,tomb,,,,,POINT (21.221656 42.2724864)
,,,tomb,,,,,POINT (21.2216668 42.2724761)
,,,tomb,,,,,POINT (21.2216776 42.2724659)
,,,tomb,,,,,POINT (21.2216896 42.2724545)
,,,tomb,,,,,POINT (21.2217027 42.2724452)
,,,tomb,,,,,POINT (21.2217144 42.2724324)
,,,tomb,,,,,POINT (21.221724 42.2724236)
,,,tomb,,,,,POINT (21.2217357 42.2724115)
,,,tomb,,,,,POINT (21.2215776 42.2724927)
,,,tomb,,,,,POINT (21.2215907 42.2724818)
,,,tomb,,,,,POINT (21.2216007 42.2724726)
,,,tomb,,,,,POINT (21.2216128 42.2724627)
,,,tomb,,,,,POINT (21.2216269 42.2724498)
,,,tomb,,,,,POINT (21.2216386 42.2724411)
,,,tomb,,,,,POINT (21.2216477 42.2724299)
,,,tomb,,,,,POINT (21.2216604 42.2724203)
,,,tomb,,,,,POINT (21.2216705 42.2724118)
,,,tomb,,,,,POINT (21.2216829 42.2723974)
,,,tomb,,,,,POINT (21.2219039 42.2723823)
,,,tomb,,,,,POINT (21.2219147 42.2723723)
,,,tomb,,,,,POINT (21.2219266 42.2723615)
,,,tomb,,,,,POINT (21.221939 42.2723521)
,,,tomb,,,,,POINT (21.2219486 42.2723399)
,,,tomb,,,,,POINT (21.2219605 42.2723304)
,,,tomb,,,,,POINT (21.2219725 42.2723208)
,,,tomb,,,,,POINT (21.2219859 42.2723088)
,,,tomb,,,,,POINT (21.221996 42.2722997)
,,,tomb,,,,,POINT (21.2220106 42.2722894)
,,,tomb,,,,,POINT (21.2218712 42.2723475)
,,,tomb,,,,,POINT (21.2218866 42.2723359)
,,,tomb,,,,,POINT (21.2218954 42.2723242)
,,,tomb,,,,,POINT (21.221907 42.2723156)
,,,tomb,,,,,POINT (21.221922 42.2723045)
,,,tomb,,,,,POINT (21.2219293 42.2722948)
,,,tomb,,,,,POINT (21.2219386 42.2722849)
,,,tomb,,,,,POINT (21.2219517 42.2722732)
,,,tomb,,,,,POINT (21.2219609 42.2722643)
,,,tomb,,,,,POINT (21.2219759 42.2722538)
,,,tomb,,,,,POINT (21.2218411 42.2723128)
,,,tomb,,,,,POINT (21.2218558 42.2723014)
,,,tomb,,,,,POINT (21.2218689 42.2722917)
,,,tomb,,,,,POINT (21.2218773 42.2722792)
,,,tomb,,,,,POINT (21.2218897 42.2722686)
,,,tomb,,,,,POINT (21.2218993 42.2722612)
,,,tomb,,,,,POINT (21.221912 42.2722515)
,,,tomb,,,,,POINT (21.2219209 42.2722424)
,,,tomb,,,,,POINT (21.2219316 42.2722313)
,,,tomb,,,,,POINT (21.2219432 42.2722182)
,,,tomb,,,,,POINT (21.221917 42.2721825)
,,,tomb,,,,,POINT (21.221902 42.2721934)
,,,tomb,,,,,POINT (21.2218877 42.2722048)
,,,tomb,,,,,POINT (21.2218781 42.2722136)
,,,tomb,,,,,POINT (21.2218658 42.2722281)
,,,tomb,,,,,POINT (21.2218531 42.272237)
,,,tomb,,,,,POINT (21.2218392 42.2722472)
,,,tomb,,,,,POINT (21.2218323 42.2722583)
,,,tomb,,,,,POINT (21.2218176 42.2722689)
,,,tomb,,,,,POINT (21.2218042 42.2722803)
,,,wayside_shrine,,,,,POINT (22.0698335 41.0824215)
,,,wayside_shrine,,,,,POINT (22.089013 41.0553224)
,,,wayside_shrine,,,,,POINT (22.0816282 41.0504371)
,,,wayside_shrine,,,,,POINT (22.0897625 41.0574499)
Πευκωτό,,,ruins,,,Зборско,,POINT (22.0914431 41.0705203)
,,,wayside_shrine,,,,,POINT (22.0899062 41.0575114)
,,,wayside_shrine,,,,,POINT (22.0855155 41.0678244)
,,,wayside_shrine,,,,,POINT (22.0700342 41.0817017)
,,,wayside_shrine,,,,,POINT (22.1298902 41.1207146)
,,,wayside_shrine,,,,,POINT (22.1198108 41.0574056)
,,,wayside_shrine,,,,,POINT (22.1870751 41.1053737)
,,,wayside_shrine,,,,,POINT (22.2704552 41.0856839)
,,,wayside_shrine,,,,,POINT (22.2648271 41.0805739)
,,,wayside_shrine,,,,,POINT (21.9896745 41.0271495)
,,,wayside_shrine,,,,,POINT (21.9381336 40.9548613)
,,,wayside_shrine,,,,,POINT (21.9898239 40.9696489)
,,,wayside_shrine,,,,,POINT (21.9258836 40.9611033)
,,,wayside_shrine,,,,,POINT (21.9675323 40.9725753)
,,,wayside_shrine,,,,,POINT (22.3707381 40.889908)
,,,wayside_shrine,,,,,POINT (22.3658445 40.8919668)
,,,wayside_shrine,,,,,POINT (22.3347694 40.9004793)
Ερείπια Παπάσιου,,,ruins,,,,,POINT (22.2186922 40.9311537)
,,,memorial,,,,,POINT (21.3561747 42.3151256)
,,,wayside_shrine,,,,,POINT (22.3768124 40.97091)
,,,wayside_shrine,,,,,POINT (22.3912576 40.9769936)
,,,wayside_shrine,,,,,POINT (22.3827272 40.9710655)
,,,wayside_shrine,,,,,POINT (22.3902611 40.9727872)
,,,wayside_shrine,,,,,POINT (22.3040844 40.9909298)
,,,wayside_shrine,,,,,POINT (22.3816961 40.9794971)
Ερείπια Πουλιάνας,,,ruins,,,,,POINT (22.1878884 40.9689336)
Ερείπια Λεσκόβου,,,ruins,,,Лесково (урнатини),,POINT (22.2458198 41.0345668)
,,,wayside_shrine,,,,,POINT (22.2970382 41.0866396)
,,,wayside_shrine,,,,,POINT (22.3880224 41.0831823)
,,,wayside_shrine,,,,,POINT (22.3067045 41.0893828)
,,,wayside_shrine,,,,,POINT (22.3428266 41.0886953)
,,,memorial,,,,,POINT (21.3605354 42.3233792)
,,,city_gate,,,,,POINT (20.7912802 41.1146413)
,place_of_worship,attraction,yes,,,,muslim,POINT (20.6456064 42.0284677)
Арката,,,building,,The Arch,,,POINT (22.6882717 42.2805886)
2 musicians and one dancing man,,,memorial,,,,,POINT (21.4307922 41.9943288)
Коста Абраш,,,memorial,,,,,POINT (20.795694 41.1120953)
Henry Dunant,,,memorial,,,,,POINT (20.8071328 41.1124032)
Љубе Грујоски,,,monument,,Ljube Grujoski,,,POINT (21.3684104 41.2754595)
,,,archaeological_site,,,,,POINT (21.9628186 42.0992419)
,,museum,,,Museum of illusions,,,POINT (21.4291373 41.9962134)
Galerija RA,,museum,,,Gallery RA,,,POINT (21.3865879 41.9989569)
Shtëpi bazë e UÇK-së,,,memorial,,,,,POINT (21.3038128 42.3547528)
Max van der Stoel,library,,,,,,,POINT (20.9599279 41.9867327)
Споменик на Дојрана,,,monument,,,,,POINT (22.7227512 41.1857198)
Чешма Света Петка,,,monument,,,,,POINT (22.7233826 41.1825947)
ΓΡΗΓΟΡΗΣ ΑΥΞΕΝΤΙΟΥ,,,memorial,,,,,POINT (22.9967481 41.2597942)
Pllakë e viktimave të luftës gjatë viteve 1998-2001,,,memorial,,,,,POINT (21.2571587 42.2280336)
,,,memorial,,,,,POINT (22.9968105 41.2598073)
Koxha Sinan Pasha,place_of_worship,,,,,,muslim,POINT (21.2574479 42.227721)
Струма невеста,,,monument,,,,,POINT (22.8537781 42.2555372)
,,,monument,,,,,POINT (22.8051611 42.1376034)
AXX110 / RA-42390,,,memorial,,,,,POINT (20.7762352 41.1850048)
PMK301 / PH-KXL,,,memorial,,,,,POINT (21.6157628 41.9779001)
Дабнички масакр,,,memorial,,Masacre of Dabnica,,,POINT (21.5605466 41.3724643)
Толе Паша,,,monument,,Tole Pasha,,,POINT (21.6536957 41.2064953)
Ацо Ангеловски,,,memorial,,,,,POINT (21.5476216 42.022416)
Кирил Петрушевски,,,memorial,,,,,POINT (21.5480468 42.0225556)
Ерол Готак,,,memorial,,,,,POINT (21.5486015 42.0227044)
Нане Наумоски,,,memorial,,,,,POINT (21.1660504 41.9764851)
Сашо Китаноски,,,memorial,,,,,POINT (21.1773385 41.977847)
Бранко Секулоски,,,memorial,,,,,POINT (21.1679024 41.97753)
Горан Миноски,,,memorial,,,,,POINT (21.1745241 41.9781971)
Марко Деспотоски,,,memorial,,,,,POINT (21.1713626 41.977893)
Ердован Шабаноски,,,memorial,,,,,POINT (21.1675604 41.9767167)
Љубе Грујоски,,,memorial,,,,,POINT (21.1694976 41.9772958)
Дарко Велјаноски,,,memorial,,,,,POINT (21.1717935 41.9770406)
Веби Рушитоски,,,memorial,,,,,POINT (21.1747438 41.9767893)
Пеце Секулоски,,,memorial,,,,,POINT (21.1770879 41.977042)
Св. Архангел Михаил,,,,,,,christian,POINT (20.6324791 41.1068913)
Карпалак,,,memorial,,,,,POINT (21.6256855 41.3575814)
Масакр во Ваташа,,,memorial,,Vatasha Massacre,,,POINT (22.0284286 41.4014262)
Пере Тошев,,,tomb,,Pere Toshev,,,POINT (21.5583071 41.3428704)
,,,monument,,,,,POINT (21.2277167 41.2504567)
xhamia Neredime eperme,,,monument,,,,,POINT (21.0809499 42.371361)
,,,monument,,,,,POINT (22.9520905 42.3304544)
,,,memorial,,,,,POINT (21.4333292 41.9972086)
Duko Tasev,,,memorial,,,,,POINT (20.8721449 41.4436592)
,,,wayside_shrine,,,,,POINT (21.9008104 40.9813577)
Гоце Делчев,,,monument,,,,,POINT (20.9229426 41.4831122)
Христо Узунов,,,monument,,Hristo Uzunov,,,POINT (20.9222623 41.483575)
,,,castle,,,,,POINT (20.5405816 42.3578249)
,,,memorial,,,,,POINT (21.1933224 41.2693524)
,,,city_gate,,,,,POINT (20.7976493 41.1121139)
Горна Порта,,attraction,city_gate,,Upper Gate,,,POINT (20.7949057 41.1150206)
Битката на Ѓурѓејца,,,battlefield,,Battle of Gjurgjejca,,,POINT (20.9658462 41.4528994)
Споменик Св. Никола,,,monument,,Monument of St. Nicholas,,,POINT (21.942062 41.8646892)
Споменик „Лазар Колишевски“,,,monument,,,,,POINT (21.9410121 41.8644645)
,library,,,,,,,POINT (21.9408047 41.8643195)
Св. Илија,,,memorial,,,,,POINT (21.9386585 41.8627557)
Споменик на Никола Карев,,,monument,,Monument to Nikola Karev,,,POINT (22.412778 41.9156602)
Кире Гаврилоски-Јане / Круме Волнароски-Коља,,,memorial,,Kire Gavriloski-Jane / Krume Volnaroski-Kolja,,,POINT (21.5629735 41.3464944)
,,,castle,,,,,POINT (20.7456685 42.209278)
Александар Македонски,,,memorial,,Alexander The Great,,,POINT (21.5572532 41.3421058)
,,,memorial,,,,,POINT (22.9797048 41.3662817)
,,,monument,,,,,POINT (21.562326 40.9507516)
,,,yes,,,,,POINT (20.7346417 42.2124828)
,,,monument,,,,,POINT (21.6538376 41.3675691)
Мирослав Јоксимовиќ,,,memorial,,Miroslav Joksimovikj,Мирослав Јоксимовиќ,,POINT (21.2464617 41.3761727)
,,,memorial,,,,,POINT (21.8698743 42.333961)
,,,memorial,,,,,POINT (21.2375283 41.3747282)
Кица Петрески,,,monument,,Kica Petreski,,,POINT (21.2488407 41.3653786)
,,,monument,,,,,POINT (21.7710681 41.3563252)
Xhamia,,,memorial,,Mosque,,,POINT (20.7476739 42.2142023)
Αρχαιολογικός Χώρος Ευρωπού,,,archaeological_site,,,,,POINT (22.5529774 40.886263)
Ταφικός Τύμβος Μεσιάς,,,archaeological_site,,,,,POINT (22.5616385 40.8777665)
,,,memorial,,,,,POINT (21.8251757 41.1830133)
NEVER FORGOTTEN,,,memorial,,,,,POINT (21.1533853 42.3686977)
VAM-304,,,monument,,,,,POINT (21.6650899 41.8668125)
МАР-7712,,,monument,,,,,POINT (22.6491133 41.4498577)
,,,memorial,,,,,POINT (20.7418173 42.2094064)
1. Бригада,,,memorial,,1st Brigade,1. Бригада,,POINT (20.6489384 41.366045)
Ослободителите на Скопје,,,monument,,Monument to the Liberators of Skopje,,,POINT (21.4292436 41.9998632)
,,,wayside_cross,,,,,POINT (21.5018088 41.3736045)
Civil war ruins-ερείπια εμφυλίου,,,ruins,,,,,POINT (22.8323036 41.3282209)
10-11,,,boundary_stone,,,,,POINT (22.8312162 41.335769)
Lapidari,,,memorial,,,,,POINT (20.6415567 42.3355531)
,,,memorial,,,,,POINT (21.6788001 41.3702007)
,,,memorial,,,,,POINT (20.6239758 42.1356995)
08.12.1941,,,memorial,,,,,POINT (21.5549177 41.3435127)
,,,memorial,,,,,POINT (21.3313534 41.0221088)
Библиотека „Браќа Миладиновци“ - Карпош,library,,,,"Library ""Miladinovci Brothers"" - Karposh",,,POINT (21.4120526 42.0027424)
,,,monument,,,,,POINT (22.0327107 41.2551396)
Вејце,,,monument,,,,,POINT (20.9185104 42.0673767)
,,,memorial,,,,,POINT (22.3544954 42.03468)
Kulla - Ekzodi 99,,,monument,,,,,POINT (20.5683924 42.3470874)
,,,memorial,,,,,POINT (22.5856226 41.3175299)
Nesimi Elshani,,,memorial,,,,,POINT (20.6422395 42.3381033)
Parku i Komandant Drinit,,,monument,,,,,POINT (20.7412294 42.2145436)
Seven days,library,,,,,,,POINT (20.7339269 42.2062931)
Libraria pena,library,,,,,,,POINT (20.7350697 42.2062815)
E,library,,,,,,,POINT (20.7341081 42.2064195)
Rrapi Shekullor,,,monument,,,,,POINT (20.745058 42.2123002)
Генерал Михаило Апостолски,,,monument,,,,,POINT (21.4485415 41.9998618)
Генерал Михајло Апостолски,,,memorial,,,Генерал Михајло Апостолски,,POINT (21.4506665 41.9988251)
Krste Petkov Misirkov,,,monument,,,Крсте Петков Мисирков,,POINT (21.4412009 41.9960184)
Blaže Koneski,,,monument,,,Блаже Конески,,POINT (21.4408764 41.9960802)
Κάστρο Χρυσής,,,castle,byzantine,Castle of Chrysi,,,POINT (22.104689 40.9538481)
Γυναικόκαστρο,,,castle,byzantine,Gynaikokastro,Женско,,POINT (22.741827 40.9422971)
Κάστρο Σέτινας,,,castle,byzantine,Castle of Setina,,,POINT (21.669643 40.8721966)
Sultana,,,memorial,,,,,POINT (21.0216359 41.6560282)
Xhemë Hasa,,,memorial,,,,,POINT (20.881732 41.7192252)
Albanian Mother,,,memorial,,,,,POINT (20.9510739 41.5964956)
,,,memorial,,,,,POINT (22.6078358 41.3961543)
,,,memorial,,,,,POINT (22.5609249 41.3183647)
Манастир Кориша,place_of_worship,,,,,,christian,POINT (20.7997418 42.2511101)
,place_of_worship,,,,,,christian,POINT (21.0942403 42.3662544)
,place_of_worship,,,,,,,POINT (21.0795955 42.3593659)
,,,fort,,,,,POINT (21.0689249 42.3585786)
,place_of_worship,,,,,,,POINT (21.0640315 42.3626682)
Св. Георгиј,,,wayside_shrine,,St. George,Св. Георгиј,christian,POINT (21.3208996 41.0108476)
Фаќач на чесниот крст,,,monument,,,Фаќач на чесниот крст,,POINT (20.799333 41.1119818)
"Dëshmorët Bekim Sylka, Sadedin Hajda, Mexhit Mustafa",,,memorial,,,,,POINT (20.6453956 42.3707518)
Павел Шатев,,,monument,,Pavel Šatev,,,POINT (21.4326511 41.9945304)
Невена Георгиева-Дуња,,,memorial,,,,,POINT (21.4332709 41.993726)
Ѓоко Лазаревски,,,monument,,Gjoko Lazarevski,,,POINT (21.0288552 42.0640097)
Теодорит,,,tomb,,,,,POINT (21.027212 42.0700178)
Кирил Пејчиновиќ-Тетоец,,,tomb,,Kiril Pejchinovikj-Tetoec,,,POINT (21.0282911 42.0669654)
Загинати Лешочани во војните 1903-2001,,,monument,,,,,POINT (21.0285176 42.0668701)
Shtëpia Muze Ukshin Hoti,,,monument,,,,,POINT (20.6315105 42.3255841)
,,,memorial,,,,,POINT (20.6399977 42.3169015)
,,,memorial,,,,,POINT (20.526426 42.3526536)
,,,memorial,,,,,POINT (20.7416042 42.2102864)
1878,,,memorial,,,,,POINT (20.7437559 42.2117047)
,,,memorial,,,,,POINT (20.7407499 42.2108056)
UCK,,,memorial,,,,,POINT (20.7446837 42.2153027)
,,,memorial,,USsoldiers: Gibbs & Reichert,,,POINT (20.729709 42.2148919)
Muzeuideshmoreve,,,memorial,,,,,POINT (20.6654067 40.8978119)
Нада Филева,,,memorial,,Nada Fileva,,,POINT (20.798276 41.1141534)
,,,monument,,Soldier with gun on horse,,,POINT (21.4377285 41.9986089)
Dane kraptzew,,,memorial,,,,,POINT (21.4185013 42.0043082)
Илјада книги,library,,,,,,,POINT (21.4354639 41.9946963)
Museum Strumica,,museum,,,,,,POINT (22.6364291 41.4354106)
Vardarski Rid,,museum,,,,,,POINT (22.5220207 41.1488082)
Μακεδονικός Τάφος Τούμπα Παιονίας Κιλκίς,,,archaeological_site,,,,,POINT (22.5427245 40.9450382)
Атентат на Киро Глигоров,,,memorial,,Atentat of Kiro Gligorov,,,POINT (21.4296159 41.9918182)
,,,memorial,,,,,POINT (21.4508797 42.3366198)
Aρχαίο Ίωρον-Aρχαία Κρηστωνία,,,archaeological_site,,,,,POINT (22.9034905 41.1453007)
Ερείπια,,,ruins,,,,,POINT (22.8310072 41.3350488)
Ερείπια,,,ruins,,,,,POINT (22.8589223 41.3384632)
Ερείπια,,,ruins,,,,,POINT (22.9086828 41.3411509)
Ερείπια,,,ruins,,,,,POINT (22.911526 41.3408906)
Ερείπια,,,ruins,,,,,POINT (22.9380143 41.3380718)
Св. Петка,,,wayside_shrine,,St. Parascheva,,christian,POINT (21.6070578 41.3643261)
Ф-86Е,,attraction,aircraft,,F-86E,,,POINT (21.3293819 41.018858)
Ф-86Д,,attraction,aircraft,,F-86D,,,POINT (21.3292773 41.0186718)
,,,memorial,,,,,POINT (21.3566709 41.157167)
,,,memorial,,,,,POINT (22.6492463 41.2487962)
,,,monument,,,,,POINT (21.0277788 42.236406)
Браќата Просветители Св. Кирил и Методиј,,,monument,,,,,POINT (22.4105061 41.9135927)
Љупчо Сантов,,,monument,,,,,POINT (22.410612 41.9143473)
Братска гробница,,,tomb,,,,,POINT (21.4572557 41.204511)
Сухои Су-25УБ,,attraction,aircraft,,Sukhoi Su25UB,,,POINT (21.6216919 41.9755167)
Сухои Су-25К,,attraction,aircraft,,Sukhoi Su25K,,,POINT (21.6219516 41.9754577)
Сухои Су-25К,,attraction,aircraft,,Sukhoi Su25K,,,POINT (21.6221983 41.9753556)
Сухои Су-25К,,attraction,aircraft,,Sukhoi Su25K,,,POINT (21.6224322 41.975287)
,,,monument,,,,,POINT (21.3517782 41.5170131)
,,,monument,,,,,POINT (21.4678555 41.2646939)
,,,wayside_shrine,,,,christian,POINT (21.4705534 41.2658411)
Йордан Митрев -лесовъд,,,monument,,,,,POINT (22.6644028 42.2507551)
,,,monument,,,,,POINT (22.6608267 42.330001)
,,,monument,,,,,POINT (22.6612778 42.3303244)
,,,tomb,,,,,POINT (21.5377119 41.3615324)
Игуменија Катерина,,,tomb,,,,,POINT (21.6200758 41.4286415)
,,,monument,,,,,POINT (21.3343796 41.0306613)
,,,wayside_shrine,,,,christian,POINT (21.6484545 41.3682851)
,,,wayside_shrine,,,,christian,POINT (21.6537245 41.3667601)
НЧ „Иван Чаушки -1934”,library,,,,,,,POINT (22.9343171 41.9924554)
,,,memorial,,,,,POINT (20.9217507 40.8828398)
,,,memorial,,,,,POINT (21.0068261 41.0425682)
,,,memorial,,,,,POINT (21.1482793 41.0656254)
,,,memorial,,,,,POINT (20.9117668 40.9395818)
,,,memorial,,,,,POINT (21.4190349 40.9097991)
,,,memorial,,,,,POINT (21.3594107 40.9785566)
Naim Frasheri,,,monument,,,,,POINT (20.8876605 41.8781835)
Naser Ademi,,,monument,,,,,POINT (20.8835051 41.878351)
Deshmoret e Ushtrise Clirimtare Kombetare,,,monument,,,,,POINT (20.883467 41.8782156)
House of Lambeski,,museum,,,,,,POINT (20.7970433 41.1123275)
Бивша гранична застава,,,ruins,,,,,POINT (22.7627753 42.0605062)
,,,monument,,,,,POINT (22.8374778 42.0728586)
Πεσόντων 1922 1949,,,memorial,,,,,POINT (22.4783797 41.0785408)
Јаким Д Стојковски,,,memorial,,,,,POINT (22.1778987 42.0001506)
Përmendorja e Hysni Temajt,,,memorial,,,,,POINT (20.538864 42.275346)
,,,memorial,,,,,POINT (20.6259567 42.272754)
,,,memorial,,,,,POINT (20.6082246 42.2662717)
,,,memorial,,,,,POINT (20.5462722 42.1787381)
Kalaja e Pogradecit,,attraction,archaeological_site,,Pogradec Castle,,,POINT (20.6461319 40.908181)
,,,monument,,,,,POINT (22.8388178 41.261359)
,,,wayside_shrine,,,,,POINT (21.5914579 41.3843244)
,,,wayside_shrine,,,,,POINT (21.5914106 41.3841894)
Biblioteka Prizren,library,,,,,,,POINT (20.743004 42.2106221)
,,,memorial,,Fallen UCK soldiers,,,POINT (20.7551542 42.1691897)
Viničko Kale,,,castle,ancient_roman,,,,POINT (22.5027575 41.8768098)
,place_of_worship,,,,,,christian,POINT (20.8388524 42.1777719)
Gjergj Kastrioti Skënderbeu,,,memorial,,,,,POINT (20.7294316 42.2151146)
,,,memorial,,,,,POINT (21.4178591 40.916457)
Lokaliteti arkeologjik “ Fusha e Madhe dhe Tuma”,,,archaeological_site,,,,,POINT (21.2962514 42.3355644)
,,,memorial,,,,,POINT (20.6777867 41.1757856)
Нико Нестор-Дживджан,,,memorial,,,,,POINT (20.6778798 41.1757975)
Дрини дент,dentist,,memorial,,,,,POINT (20.6791018 41.1756353)
,,,monument,,,,,POINT (21.5709712 41.364432)
,,,wayside_shrine,,,,,POINT (21.3540794 41.1100569)
,,,wayside_shrine,,,,,POINT (21.255996 41.3734433)
,,,tomb,,,,,POINT (20.5198827 40.9899957)
,,,tomb,,,,,POINT (20.5194429 40.9913229)
Varrezat Ilire,,attraction,archaeological_site,,Illiric's Kings Tombs,,,POINT (20.5193485 40.9914013)
Ura e Golikut,,attraction,monument,,Golik Bridge,,,POINT (20.5135988 41.0160762)
Mozaiku i Linit,,,archaeological_site,,Lin Mosaic,,,POINT (20.6447795 41.065983)
Kalaja e Grazhdanit,,,castle,,Grazhdan Fortress,,,POINT (20.4661222 41.6059048)
Bellovë,,,archaeological_site,illyrian,,,,POINT (20.4877105 41.7004279)
Tomb 2,,,archaeological_site,,,,,POINT (20.5193132 40.9915167)
Tomb 1,,,archaeological_site,,,,,POINT (20.5193731 40.991496)
Tomb 3,,,archaeological_site,,,,,POINT (20.5194591 40.9914008)
Tomb 4,,,archaeological_site,,,,,POINT (20.5198834 40.9900123)
Tomb 5,,,archaeological_site,,,,,POINT (20.5203708 40.9902374)
Владимир Димитров-Майстора,,museum,,,,,,POINT (22.7164892 42.3502614)
99.4-025,,attraction,locomotive,,,,,POINT (21.3631045 42.0080767)
83-064,,attraction,locomotive,,,,,POINT (21.4618597 41.9780627)
Ηρώο Πεσόντων Νότιας,,,monument,,,,,POINT (22.2414068 41.1048278)
,,,memorial,,,,,POINT (23.0082967 42.1517528)
,,,memorial,,,,,POINT (20.6256923 41.5891815)
,,,memorial,,,,,POINT (20.6340431 41.1057905)
