name,amenity,tourism,historic,historic:civilization,name:en,name:mk,religion,WKT
Црква Света Петка,place_of_worship,attraction,,,Saint Petka Church,,christian,POINT (20.7415162 40.9131005)
,,,,,,,,POINT (21.4332386 41.9980543)
Манастир Св. Андреј,place_of_worship,attraction,monument,,Monastery St. Andrej,,christian,POINT (21.2991931 41.9505936)
Музеј на Дојран,,museum,,,,,,POINT (22.7221034 41.1871817)
Филип Втори,,,monument,,,,,POINT (21.4617772 42.0017233)
Филип II Македонски,,artwork,memorial,,Philip II of Macedon,,,POINT (21.4349949 41.9984602)
,,,,,,,,POINT (21.4396452 41.9961943)
"Shkolla e mesme e ulet ""28 Nëntori""",school,,monument,,,,,POINT (20.7237474 42.1093992)
Св. Илија,place_of_worship,,,,,,christian,POINT (21.2958493 42.0604971)
Св. Климент Охридски,,artwork,memorial,,Clement of Ohrid,,,POINT (21.4254968 41.9983057)
Скендербег,,artwork,memorial,,Skanderbeg,,,POINT (21.437162 41.9993163)
Маркова Нога,,,monument,,,,,POINT (21.1195933 40.8570205)
Костоперска Карпа,,attraction,archaeological_site,prehistoric,,,,POINT (21.809838 42.1706665)
Кокино,,attraction,archaeological_site,,,Кокино,,POINT (21.953118 42.2633818)
,,,,,,,,POINT (21.426268 41.9983847)
,,,,,,,,POINT (21.4325382 42.0018844)
Varrezat e Radeshës,,,memorial,,,,,POINT (20.7001933 42.0516892)
10,,,boundary_stone,,,,,POINT (22.9916178 41.3335478)
11,,,boundary_stone,,,,,POINT (23.0045415 41.3295178)
12,,,boundary_stone,,,,,POINT (23.015062 41.3297879)
13,,,boundary_stone,,,,,POINT (23.016135 41.3301726)
14,,,boundary_stone,,,,,POINT (23.0210206 41.3305055)
15,,,boundary_stone,,,,,POINT (23.0277237 41.3339144)
16,,,boundary_stone,,,,,POINT (23.0322889 41.3325627)
2,,,boundary_stone,,,,,POINT (22.9283963 41.340516)
3,,,boundary_stone,,,,,POINT (22.9317424 41.3404787)
4,,,boundary_stone,,,,,POINT (22.9350736 41.3399583)
5,,,boundary_stone,,,,,POINT (22.9395421 41.3382705)
7,,,boundary_stone,,,,,POINT (22.966292 41.3337503)
8,,,boundary_stone,,,,,POINT (22.9726195 41.3328003)
9,,,boundary_stone,,,,,POINT (22.9806807 41.3348336)
2,,,boundary_stone,,,,,POINT (22.9351752 41.340338)
3,,,boundary_stone,,,,,POINT (22.9527929 41.3524982)
6,,,boundary_stone,,,,,POINT (22.9511982 41.3360354)
Јосип Броз - Тито,,,monument,,,,,POINT (21.7194275 42.1355778)
,,,ruins,medieval,,,,POINT (22.2617922 41.4168996)
,,,ruins,,,,,POINT (22.2700695 41.381851)
Museum of Wine,,museum,,,,Музеј на Биното,,POINT (22.2447656 41.4085959)
,,,ruins,,,,,POINT (22.2538529 41.4012005)
,,,ruins,,,,,POINT (22.2563366 41.3916552)
,,,castle,,,,,POINT (22.2491215 41.4056225)
Марков Град,,,ruins,,Markov Grad,,,POINT (22.2541295 41.4094203)
Меморијален центар АСНОМ,,attraction,memorial,,Memorial Center ASNOM,,,POINT (21.8500367 42.2782511)
Sahat Kula,,,monument,,,,,POINT (20.9108574 41.794932)
Орашко Кале,,,ruins,,Orashko Kale,,,POINT (21.1545235 42.1068795)
Саат кула,,,monument,,,,,POINT (20.9702432 41.5119269)
Саат кула,,,monument,,,,,POINT (21.7840512 41.7140782)
Isar / Idomenae,,,archaeological_site,,,,,POINT (22.4937679 41.2775784)
Куде сат,,,monument,,,,,POINT (21.7192303 42.1346962)
